,item_name,item_status,item_time
0,dht/tc,0.0,
1,dht/tc,,
2,gas,0.0,
3,pir,1.0,
4,dht/hum,,
5,dht/tc,,
6,dht/hum,,
7,gas,0.0,
8,dht/tc,0.0,
9,pir,1.0,
10,dht/hum,,
11,gas,0.0,
12,dht/tc,,
13,dht/tc,0.0,
14,pir,1.0,
15,dht/hum,75.0,
16,dht/tc,29.6,
17,gas,0.0,
18,dht/tc,0.0,
19,pir,1.0,
20,dht/hum,75.0,
21,dht/tc,29.6,
22,gas,0.0,
23,dht/tc,0.0,
24,pir,1.0,
25,gas,0.0,2021-07-04 12:54:56
26,dht/tc,28.5,2021-07-04 12:54:56
27,dht/hum,79.0,2021-07-04 12:54:56
28,pir,1.0,2021-07-04 12:54:56
29,dht/tc,0.0,2021-07-04 12:54:56
30,dht/tc,28.5,2021-07-04 12:55:08
31,dht/hum,79.0,2021-07-04 12:55:08
32,gas,0.0,2021-07-04 12:55:08
33,dht/tc,0.0,2021-07-04 12:55:08
34,pir,1.0,2021-07-04 12:55:08
35,dht/hum,79.0,2021-07-04 12:55:14
36,dht/tc,28.5,2021-07-04 12:55:14
37,gas,0.0,2021-07-04 12:55:14
38,dht/tc,0.0,2021-07-04 12:55:14
39,pir,1.0,2021-07-04 12:55:14
40,pir,1.0,2021-07-04 13:16:30
41,gas,0.0,2021-07-04 13:16:30
42,dht/tc,,2021-07-04 13:16:30
43,dht/tc,0.0,2021-07-04 13:16:30
44,dht/hum,,2021-07-04 13:16:30
45,dht/hum,,2021-07-04 13:16:36
46,dht/tc,,2021-07-04 13:16:36
47,dht/tc,0.0,2021-07-04 13:16:36
48,gas,0.0,2021-07-04 13:16:36
49,pir,1.0,2021-07-04 13:16:36
50,dht/tc,,2021-07-04 13:28:46
51,dht/hum,,2021-07-04 13:28:46
52,gas,0.0,2021-07-04 13:28:46
53,pir,1.0,2021-07-04 13:28:46
54,dht/tc,0.0,2021-07-04 13:28:46
55,dht/hum,,2021-07-04 13:28:52
56,dht/tc,,2021-07-04 13:28:52
57,dht/tc,0.0,2021-07-04 13:28:52
58,gas,0.0,2021-07-04 13:28:52
59,pir,1.0,2021-07-04 13:28:52
60,dht/hum,,2021-07-04 13:35:05
61,dht/tc,,2021-07-04 13:35:05
62,gas,0.0,2021-07-04 13:35:05
63,dht/tc,0.0,2021-07-04 13:35:05
64,pir,1.0,2021-07-04 13:35:05
65,dht/hum,,2021-07-04 13:35:11
66,gas,0.0,2021-07-04 13:35:11
67,dht/tc,,2021-07-04 13:35:11
68,dht/tc,0.0,2021-07-04 13:35:11
69,pir,1.0,2021-07-04 13:35:11
70,dht/tc,0.0,2021-07-04 13:35:36
71,pir,1.0,2021-07-04 13:35:36
72,dht/hum,,2021-07-04 13:35:36
73,dht/tc,,2021-07-04 13:35:36
74,gas,0.0,2021-07-04 13:35:36
75,dht/hum,,2021-07-04 13:35:42
76,gas,0.0,2021-07-04 13:35:42
77,dht/tc,0.0,2021-07-04 13:35:42
78,dht/tc,,2021-07-04 13:35:42
79,pir,1.0,2021-07-04 13:35:42
80,dht/hum,,2021-07-04 14:40:18
81,gas,0.0,2021-07-04 14:40:18
82,dht/tc,0.0,2021-07-04 14:40:18
83,dht/tc,,2021-07-04 14:40:18
84,pir,1.0,2021-07-04 14:40:18
85,dht/hum,,2021-07-04 14:40:24
86,dht/tc,,2021-07-04 14:40:24
87,gas,0.0,2021-07-04 14:40:24
88,dht/tc,0.0,2021-07-04 14:40:24
89,pir,1.0,2021-07-04 14:40:24
90,dht/hum,,2021-07-04 14:40:30
91,gas,0.0,2021-07-04 14:40:30
92,pir,1.0,2021-07-04 14:40:30
93,dht/tc,,2021-07-04 14:40:30
94,dht/tc,0.0,2021-07-04 14:40:30
95,dht/hum,,2021-07-04 14:40:36
96,dht/tc,,2021-07-04 14:40:36
97,gas,0.0,2021-07-04 14:40:36
98,dht/tc,0.0,2021-07-04 14:40:36
99,pir,1.0,2021-07-04 14:40:36
100,dht/hum,,2021-07-04 14:40:43
101,dht/tc,,2021-07-04 14:40:43
102,gas,0.0,2021-07-04 14:40:43
103,dht/tc,0.0,2021-07-04 14:40:43
104,pir,1.0,2021-07-04 14:40:43
105,dht/hum,,2021-07-04 14:40:49
106,gas,0.0,2021-07-04 14:40:49
107,dht/tc,,2021-07-04 14:40:49
108,dht/tc,0.0,2021-07-04 14:40:49
109,pir,1.0,2021-07-04 14:40:49
110,dht/tc,0.0,2021-07-04 14:40:55
111,dht/tc,,2021-07-04 14:40:55
112,dht/hum,,2021-07-04 14:40:55
113,gas,0.0,2021-07-04 14:40:55
114,pir,1.0,2021-07-04 14:40:55
115,dht/hum,,2021-07-04 14:41:01
116,dht/tc,,2021-07-04 14:41:01
117,pir,1.0,2021-07-04 14:41:01
118,dht/tc,0.0,2021-07-04 14:41:01
119,gas,0.0,2021-07-04 14:41:01
120,dht/hum,,2021-07-04 14:41:07
121,dht/tc,0.0,2021-07-04 14:41:07
122,dht/tc,,2021-07-04 14:41:07
123,pir,1.0,2021-07-04 14:41:08
124,gas,0.0,2021-07-04 14:41:07
